AD	-	Public Administration - Private Administration - Offices
AD1	AD	general aspects of the subject field
AD2	AD	organisations in the subject field
AD3	AD	publications in the subject field
AD31	AD3	documentation systems and information systems in the subject field
AD4	AD	administrative staff
AD5	AD	public procurement
AD51	AD5	expropriation in the public interest (sn: procedural aspects)
AD52	AD5	system of regional preferences
AD53	AD5	public works
AD54	AD5	provision of services
AD6	AD	public order & identification
AD61	AD6	forces of order
AD62	AD6	identification
AD7	AD	public safety services
AD8	AD	public utilities
AD81	AD8	electricity - gas - water
AD82	AD8	public transport
AD9	AD	public health administration
AD91	AD9	industrial hygiene & urban hygiene (sn: administrative aspects; us: for pollution control techniques, see: EN)
AD92	AD9	urban hygiene (sn: services and measures)
AD93	AD9	public morality
ADA	AD	offices - organisation & equipment (sn: functional aspects)
ADA1	ADA	offices - office organisation
ADA2	ADA	offices -office equipment (sn: use of office equipment)
ADB	AD	internal organisation
ADC	AD	administrative procedures
ADD	AD	municipal registrar
ADE	AD	immigration matters
ADF	AD	civil service
ADG	AD	public finance
ADG1	ADG	inland revenue
ADH	AD	management in private enterprises
ADJ	AD	legal aspects of administration
ADK	AD	rendering of services; supply of services; provision of services
ADL	AD	administrative area
ADV	AD	automation of administration; administrative data processing; business data processing
ADW	AD	man & society
ADY	AD	training & education
ADZ	AD	professions & careers
AG	-	Agriculture - Food Industry - Livestock Industry - Fisheries
AG1	AG	general aspects of the subject field
AG2	AG	organisations in the subject field
AG21	AG2	undertakings
AG3	AG	publications in the subject field
AG31	AG3	documentation systems and information systems in the subject field
AG4	AG	agricultural science
AG5	AG	crops (sn: cultivation and products)
AG51	AG5	grasses
AG52	AG5	roots & tuberous crops
AG53	AG5	grain crops
AG54	AG5	fibre plants & textile plants
AG55	AG5	sugar crops & starch crops
AG56	AG5	vegetable oil crops
AG57	AG5	medicinal herbs & stimulants
AG58	AG5	industrial crops
AG59	AG5	condiments & spices
AG6	AG	horticulture - aquatic plants - crop protection
AG61	AG6	vegetables
AG62	AG6	herbs
AG63	AG6	decorative plants
AG64	AG6	fruit
AG65	AG6	edible fungi
AG66	AG6	marine products of plant origin
AG67	AG6	crop protection
AG7	AG	viticulture
AG8	AG	forestry management
AG81	AG8	forestry products
AG9	AG	stockbreeding (sn: land animals; rf: anamal diseases, see: BZA)
AG91	AG9	animal husbandry
AG92	AG9	animals for meat production & animal products
AG93	AG9	meat inspection (rf: veterinary medicine, see: MEG)
AG94	AG9	domestic animals
AGA	AG	hunting & trapping
AGB	AG	fishing - fish breeding & aquaculture
AGB1	AGB	freshwater fishing - coastal-water fishing - deep-sea fishing
AGB2	AGB	aquaculture
AGB3	AGB	ornamental fish
AGC	AG	animal products
AGD	AG	nature conservation
AGE	AG	Common Agricultural Policy
AGE1	AGE	food policy
AGE2	AGE	butter
AGE3	AGE	milk
AGE4	AGE	meat & meat products
AGE5	AGE	fish & fish products
AGE6	AGE	vegetables
AGE7	AGE	cereals
AGE8	AGE	rice
AGE9	AGE	oil seeds & oil seed products
AGEA	AGE	fruit
AGEB	AGE	sugar
AGEC	AGE	coffee
AGED	AGE	tea
AGEE	AGE	cocoa
AGEF	AGE	tobacco
AGEG	AGE	wine
AGEX	AGE	other agricultural products
AGF	AG	equipment - machinery - buildings
AGF1	AGF	agricultural machinery
AGF2	AGF	farm buildings
AGG	AG	foodstuffs - production - products - trade
AGG1	AGG	food processing, food preservation & chemical treatment (rf: E-additives, see: ICE)
AGG2	AGG	food products
AGG2A	AGG2	natural additives
AGG2B	AGG2	bakery products
AGG2D	AGG2	dairy products
AGG2F	AGG2	processed fruits
AGG2M	AGG2	meat products
AGG2O	AGG2	oils - fats
AGG2S	AGG2	sugar products
AGG2V	AGG2	processed vegetables
AGG3	AGG	synthetic food products
AGG4	AGG	foodstuffs - trade & distribution
AGG5	AGG	food quality
AGH	AG	alcoholic beverages & non-alcoholic beverages
AGH1	AGH	alcoholic beverages & non-alcoholic beverages - production & bottling
AGH2	AGH	alcoholic beverages & non-alcoholic beverages - products
AGH3	AGH	alcoholic beverages & non-alcoholic beverages - trade & distribution
AGI	AG	stimulants & narcotics - production - products - trade
AGI1	AGI	stimulants & narcotics - production - products
AGI2	AGI	trade in stimulants - trade in narcotics
AGJ	AG	legal aspects
AGK	AG	animal food - production - products - trade
AGK1	AGK	animal food - production & products
AGK2	AGK	animal food - trade & distribution
AGL	AG	raw materials of animal origin - raw materials of vegetable origin (sn: non-food products)
