algvõrre	-	positive degree
as	-	abstract substantive
dem	-	diminutive
nom	-	nominative
gen	-	genitive
illat	-	illative
imperf	-	imperfect
impers	-	impersonal
indekl	-	indeclinable
iness	-	inessive
komp	-	comparative
part	-	partitive
partits	-	participle
pl	-	plural
pl elat	-	plural elative
pl gen	-	plural genitive
pl illat	-	plural illative
pl iness	-	plural inessive
pl nom	-	plural nominative
pl part	-	plural partitive
pl term	-	plural terminative
superl	-	superlative
tgn	-	substantive suffix -ja = actor
tn	-	substantive suffix -mine = act, process
mitm	-	plural
ains	-	singular
om	-	singular genitiv
os	-	singular partitiv
keskv	-	comparative (degree)
üliv	-	superlative (degree)
kesks	-	participle
