colloc_word_value	colloc_word_id	colloc_lexeme_id	delete_colloc_lexeme_ids
1,5- hektariline kinnistu	2068850	3271904	3051626
15- aastased alaealised	2062107	3265161	3274271
2000 ruutmeetrine kinnistu	2068846	3271900	3051623
2010. aastast tegutsema	2067758	3270812	2964728
2016. aasta vilistlane	2042669	3245723	3266324
80- aastane vanur	2075603	3278657	3238603
Aafrika ajaloo käsitlus	1874268	3077321	3077322
Aafrika riikidesse eksportima	1791387	2994440	2994441
Aasia börsi indeks	1782128	2985180	2985181
Afganistani armee üksused	2058611	3261665	3274252
Afganistani põgenikud	1951382	3154435	3274253
Ahtri tänava lõik	2062421	3265475	3095095
Ameerika päritolu luuletaja	1891275	3094328	3094329
Ameerika päritolu ärimees	2055916	3258970	3258971
Anne turu plats	1942564	3145617	3145615
Antarktise kontinent	2072413	3275467	3061664
Antarktise mander	2072370	3275424	3102962
Antarktise manner	2072385	3275439	3103065
Atlandi ookeani rannik	1926124	3129177	3129178
B-hepatiidi vastane vaktsineerimine	2080672	3283726	3235249
Eesti murrete sõnaraamat	2082062	3285116	3112257
Egiptuse päritolu moslemid	1907690	3110743	3110744
Endla tänava korteriühistu	2062427	3265481	3265442, 3066254
Euraasia kontinent	2072431	3275485	3061659
Euraasia mander	2072354	3275408	3102957
Euraasia manner	2072375	3275429	3103062
Euroopa inimõiguste kohus	1854561	3057614	3057615
Euroopa klubide karikavõistlused	1839388	3042441	3042442
Euroopa klubide karikavõitja	1839417	3042470	3042471
Euroopa kosmoseagentuuri satelliit	1972807	3175860	3175861
Euroopa meistri tiitel	1903806	3106859	3106860
Euroopa riikide karikavõitja	1839415	3042468	3042469
Euroopa stabiilsuse pakt	1931997	3135050	3135051
Harju politsei uurija	2028112	3231166	3231167
Harku järve vesi	2040346	3243400	3243401
ID-kaardi rakendus	1959006	3162059	3274183
Ida osakonna politseinik	1943474	3146527	3281718
Iisraeli armee üksused	2058610	3261664	3261663
India ookeani saar	1926127	3129180	3129179
Itaalia keele õppimine	2054522	3257576	3278800, 3278803
Jaani kiriku orel	1927020	3130073	3130074
Jaani koguduse kirikuõpetaja	2081330	3284384	3052350, 3284386
Jaani koguduse pühakoda	2081325	3284379	3284391, 3158571
Jaapani auto	1778696	2981748	3283380
Katku küla väljad	2048212	3251266	3251267
Kuku raadio kuulaja	1869237	3072290	3072291
Kuku raadio saade	1956334	3159387	3159388
Kõpu poolsaare külad	1944298	3147351	3147352
Laia tänava parkimisplats	2062413	3265467	3137318, 3265448
Lõuna prefektuuri politseinik	1943473	3146526	3281610
Lõuna-Ameerika kontinent	2072427	3275481	3061660
Lõuna-Ameerika mander	2072363	3275417	3102959
Lõuna-Ameerika manner	2072387	3275441	3103066
Maad ohustav asteroid	1776662	2979714	3279736
Maale lähenev asteroid	1776658	2979710	2979709
Musta mere laevastik	1878095	3081148	3081147
Musta mere rannik	1904693	3107746	3107745
Musta mere regioon	1961580	3164633	3164632
Musta mere sadamad	1971000	3174053	3174052
Musta mere vesi	2040352	3243406	3243405
Musta mere äär	2056377	3259431	3259430
Paide kooli õpetaja	1859532	3062585	3266402, 3266444, 3062584
Paide linna kodanik	1852105	3055158	3055157
Prantsuse auto	1778695	2981747	3283391
Pärsia lahe piirkond	1939772	3142825	3142824
Pärsia lahe regioon	1961583	3164636	3164635
Põhja-Ameerika kontinent	2072423	3275477	3061661
Põhja-Ameerika mander	2072358	3275412	3102958
