aiand	bolan	-	gardening
aj	bolan	-	history
anat	bolan	-	anatomy
antr	bolan	-	anthropology
arheol	bolan	-	archeology
astr	bolan	-	astronomy
bibl	bolan	-	bibliography
biol	bolan	-	biology
bot	bolan	-	botany
ehit	bolan	-	building
el	bolan	-	electricity
etn	bolan	-	ethnography
farm	bolan	-	pharmacy
filos	bolan	-	philosophy
folkl	bolan	-	folklore
fot	bolan	-	photography
füsiol	bolan	-	physiology
füüs	bolan	-	physics
geogr	bolan	-	geography
geol	bolan	-	geology
info	bolan	-	information technology, computer science
jur	bolan	-	law
kal	bolan	-	fishery
keel	bolan	-	linguistics
keem	bolan	-	chemistry
kirikl	bolan	-	ecclesiastical
kirj	bolan	-	literature
kok	bolan	-	culinary
kunst	bolan	-	art
loog	bolan	-	logic
maj	bolan	-	economics
mat	bolan	-	mathematics
med	bolan	-	medicine
mer	bolan	-	nautical
meteor	bolan	-	meteorology
mets	bolan	-	forestry
muus	bolan	-	music
mäend	bolan	-	mining engineering
müt	bolan	-	mythology
nõuk	bolan	-	Soviet
paleont	bolan	-	paleontology
ped	bolan	-	education
pol	bolan	-	politics
psühh	bolan	-	psychology
põll	bolan	-	agriculture
relig	bolan	-	religion
sport	bolan	-	sports
sõj	bolan	-	military science, national defence
zool	bolan	-	zoology
teater	bolan	-	theater
tehn	bolan	-	technology
tekst	bolan	-	textiles
trük	bolan	-	printing industry
vet	bolan	-	veterinary science
arhit	bolan	-	architecture
aut	bolan	-	automobile engineering
film	bolan	-	filmography
geod	bolan	-	geodesy
hüdr	bolan	-	water engineering
jah	bolan	-	hunting
ker	bolan	-	pottery
kul	bolan	-	cookery
lenn	bolan	-	aviation
lgv	bolan	-	linguistics
meh	bolan	-	mechanics
mes	bolan	-	apiculture
min	bolan	-	mineralogy
mull	bolan	-	soil science
nahat	bolan	-	leather industry
paberit	bolan	-	paper industry
pat	bolan	-	patent
puidut	bolan	-	timber industry
raad	bolan	-	radio
raudt	bolan	-	railway engineering
side	bolan	-	communication
sotsiol	bolan	-	sociology
stat	bolan	-	statistics
teed	bolan	-	road engineering
