AD	lenoch	-	Public Administration - Private Administration - Offices
AD1	lenoch	AD	general aspects of the subject field
AD2	lenoch	AD	organisations in the subject field
AD3	lenoch	AD	publications in the subject field
AD31	lenoch	AD3	documentation systems and information systems in the subject field
AD4	lenoch	AD	administrative staff
AD5	lenoch	AD	public procurement
AD51	lenoch	AD5	expropriation in the public interest (sn: procedural aspects)
AD52	lenoch	AD5	system of regional preferences
AD53	lenoch	AD5	public works
AD54	lenoch	AD5	provision of services
AD6	lenoch	AD	public order & identification
AD61	lenoch	AD6	forces of order
AD62	lenoch	AD6	identification
AD7	lenoch	AD	public safety services
AD8	lenoch	AD	public utilities
AD81	lenoch	AD8	electricity - gas - water
AD82	lenoch	AD8	public transport
AD9	lenoch	AD	public health administration
AD91	lenoch	AD9	industrial hygiene & urban hygiene (sn: administrative aspects; us: for pollution control techniques, see: EN)
AD92	lenoch	AD9	urban hygiene (sn: services and measures)
AD93	lenoch	AD9	public morality
ADA	lenoch	AD	offices - organisation & equipment (sn: functional aspects)
ADA1	lenoch	ADA	offices - office organisation
ADA2	lenoch	ADA	offices -office equipment (sn: use of office equipment)
ADB	lenoch	AD	internal organisation
ADC	lenoch	AD	administrative procedures
ADD	lenoch	AD	municipal registrar
ADE	lenoch	AD	immigration matters
ADF	lenoch	AD	civil service
ADG	lenoch	AD	public finance
ADG1	lenoch	ADG	inland revenue
ADH	lenoch	AD	management in private enterprises
ADJ	lenoch	AD	legal aspects of administration
ADK	lenoch	AD	rendering of services; supply of services; provision of services
ADL	lenoch	AD	administrative area
ADV	lenoch	AD	automation of administration; administrative data processing; business data processing
ADW	lenoch	AD	man & society
ADY	lenoch	AD	training & education
ADZ	lenoch	AD	professions & careers
AG	lenoch	-	Agriculture - Food Industry - Livestock Industry - Fisheries
AG1	lenoch	AG	general aspects of the subject field
AG2	lenoch	AG	organisations in the subject field
AG21	lenoch	AG2	undertakings
AG3	lenoch	AG	publications in the subject field
AG31	lenoch	AG3	documentation systems and information systems in the subject field
AG4	lenoch	AG	agricultural science
AG5	lenoch	AG	crops (sn: cultivation and products)
AG51	lenoch	AG5	grasses
AG52	lenoch	AG5	roots & tuberous crops
AG53	lenoch	AG5	grain crops
AG54	lenoch	AG5	fibre plants & textile plants
AG55	lenoch	AG5	sugar crops & starch crops
AG56	lenoch	AG5	vegetable oil crops
AG57	lenoch	AG5	medicinal herbs & stimulants
AG58	lenoch	AG5	industrial crops
AG59	lenoch	AG5	condiments & spices
AG6	lenoch	AG	horticulture - aquatic plants - crop protection
AG61	lenoch	AG6	vegetables
AG62	lenoch	AG6	herbs
AG63	lenoch	AG6	decorative plants
AG64	lenoch	AG6	fruit
AG65	lenoch	AG6	edible fungi
AG66	lenoch	AG6	marine products of plant origin
AG67	lenoch	AG6	crop protection
AG7	lenoch	AG	viticulture
AG8	lenoch	AG	forestry management
AG81	lenoch	AG8	forestry products
AG9	lenoch	AG	stockbreeding (sn: land animals; rf: anamal diseases, see: BZA)
AG91	lenoch	AG9	animal husbandry
AG92	lenoch	AG9	animals for meat production & animal products
AG93	lenoch	AG9	meat inspection (rf: veterinary medicine, see: MEG)
AG94	lenoch	AG9	domestic animals
AGA	lenoch	AG	hunting & trapping
AGB	lenoch	AG	fishing - fish breeding & aquaculture
AGB1	lenoch	AGB	freshwater fishing - coastal-water fishing - deep-sea fishing
AGB2	lenoch	AGB	aquaculture
AGB3	lenoch	AGB	ornamental fish
AGC	lenoch	AG	animal products
AGD	lenoch	AG	nature conservation
AGE	lenoch	AG	Common Agricultural Policy
AGE1	lenoch	AGE	food policy
AGE2	lenoch	AGE	butter
AGE3	lenoch	AGE	milk
AGE4	lenoch	AGE	meat & meat products
AGE5	lenoch	AGE	fish & fish products
AGE6	lenoch	AGE	vegetables
AGE7	lenoch	AGE	cereals
AGE8	lenoch	AGE	rice
AGE9	lenoch	AGE	oil seeds & oil seed products
AGEA	lenoch	AGE	fruit
AGEB	lenoch	AGE	sugar
AGEC	lenoch	AGE	coffee
AGED	lenoch	AGE	tea
AGEE	lenoch	AGE	cocoa
AGEF	lenoch	AGE	tobacco
AGEG	lenoch	AGE	wine
AGEX	lenoch	AGE	other agricultural products
AGF	lenoch	AG	equipment - machinery - buildings
AGF1	lenoch	AGF	agricultural machinery
AGF2	lenoch	AGF	farm buildings
AGG	lenoch	AG	foodstuffs - production - products - trade
AGG1	lenoch	AGG	food processing, food preservation & chemical treatment (rf: E-additives, see: ICE)
AGG2	lenoch	AGG	food products
AGG2A	lenoch	AGG2	natural additives
AGG2B	lenoch	AGG2	bakery products
AGG2D	lenoch	AGG2	dairy products
AGG2F	lenoch	AGG2	processed fruits
AGG2M	lenoch	AGG2	meat products
AGG2O	lenoch	AGG2	oils - fats
AGG2S	lenoch	AGG2	sugar products
AGG2V	lenoch	AGG2	processed vegetables
AGG3	lenoch	AGG	synthetic food products
AGG4	lenoch	AGG	foodstuffs - trade & distribution
AGG5	lenoch	AGG	food quality
AGH	lenoch	AG	alcoholic beverages & non-alcoholic beverages
AGH1	lenoch	AGH	alcoholic beverages & non-alcoholic beverages - production & bottling
AGH2	lenoch	AGH	alcoholic beverages & non-alcoholic beverages - products
AGH3	lenoch	AGH	alcoholic beverages & non-alcoholic beverages - trade & distribution
AGI	lenoch	AG	stimulants & narcotics - production - products - trade
AGI1	lenoch	AGI	stimulants & narcotics - production - products
AGI2	lenoch	AGI	trade in stimulants - trade in narcotics
AGJ	lenoch	AG	legal aspects
AGK	lenoch	AG	animal food - production - products - trade
AGK1	lenoch	AGK	animal food - production & products
AGK2	lenoch	AGK	animal food - trade & distribution
AGL	lenoch	AG	raw materials of animal origin - raw materials of vegetable origin (sn: non-food products)
AGL1	lenoch	AGL	non-food materials
AGL2	lenoch	AGL	trade in raw materials of animal origin - trade in raw materials of vegetable origin (rf: illegal trade, see: AGJ)
AGM	lenoch	AG	trade & distribution of agricultural products - distribution of agricultural products (sn: trade in livestock, crops, plants, vegetables, etc.; rf: illegal trade, see: AGJ)
AGW	lenoch	AG	man & society
AGW1	lenoch	AGW	farming structure; agrarian structure; agricultural structure; land tenure; rural structure
AGW2	lenoch	AGW	food supply
AGW3	lenoch	AGW	man & society
AGY	lenoch	AG	training & education
AGZ	lenoch	AG	professions & careers
AR	lenoch	-	Fine Arts - Performing Arts - Crafts - Audio-Visual Arts - Cultural Life
AR1	lenoch	AR	general aspects of the subject field
AR11	lenoch	AR1	theory of art
AR2	lenoch	AR	organisations in the subject field
AR21	lenoch	AR2	museums (sn: collections and exhibits; us: for Museology, see DID)
AR3	lenoch	AR	publications in the subject field
AR31	lenoch	AR3	documentation systems and information systems in the subject field
AR4	lenoch	AR	folk arts & crafts
AR5	lenoch	AR	drawing & painting - graphic arts - mosaic - glass painting
AR51	lenoch	AR5	history & criticism of graphic arts - drawing - painting
AR52	lenoch	AR5	painting & drawing
AR53	lenoch	AR5	graphic arts
AR54	lenoch	AR5	mosaic
AR55	lenoch	AR5	glass painting & enamel work
AR6	lenoch	AR	plastic arts
AR61	lenoch	AR6	history & criticism of plastic arts
AR7	lenoch	AR	music
AR71	lenoch	AR7	history of music & music criticism
AR72	lenoch	AR7	commercial aspects of music
AR8	lenoch	AR	dance
AR81	lenoch	AR8	history & criticism of dance
AR9	lenoch	AR	theatre and performing arts
AR91	lenoch	AR9	history of the theatre & theatre criticism
AR92	lenoch	AR9	stage techniques
AR93	lenoch	AR9	theatres & stages
AR94	lenoch	AR9	amateur theatre (sn: all performing styles and techniques)
ARA	lenoch	AR	cinema (us: for documentary & educational film, see: PGF)
ARA1	lenoch	ARA	history of film & film criticism
ARA2	lenoch	ARA	film making
ARA3	lenoch	ARA	film industry
ARB	lenoch	AR	circus & music hall entertainment
ARC	lenoch	AR	artistic photography
ARD	lenoch	AR	industrial design
ARE	lenoch	AR	radio programmes
ARF	lenoch	AR	television programmes
ARG	lenoch	AR	computer art
ARH	lenoch	AR	architecture (sn: artistic aspects; us: for technical aspects, see: BA)
ARJ	lenoch	AR	legal aspects
ARK	lenoch	AR	commercial art
ARL	lenoch	AR	art & communication
ARM	lenoch	AR	art business
ARW	lenoch	AR	man & society
ARY	lenoch	AR	training & education
ARZ	lenoch	AR	professions & careers
AS	lenoch	-	Insurance
AS1	lenoch	AS	general aspects of the subject field
AS11	lenoch	AS1	actuarial mathematics (sn: applied mathematics)
AS12	lenoch	AS1	insurance procedures
AS2	lenoch	AS	organisations in the subject field
AS21	lenoch	AS2	undertakings
AS3	lenoch	AS	publications in the subject field
AS31	lenoch	AS3	documentation systems and information systems in the subject field
AS4	lenoch	AS	risk financing
AS5	lenoch	AS	accident insurance
AS6	lenoch	AS	sickness insurance
AS7	lenoch	AS	land vehicle insurance (sn: other than railway rolling stock)
AS8	lenoch	AS	railway rolling stock insurance
AS9	lenoch	AS	aircraft insurance
ASA	lenoch	AS	insurance of sea, lake and river and canal vessels
ASB	lenoch	AS	insurance of goods in transit
ASC	lenoch	AS	fire and natural forces
ASD	lenoch	AS	other damage to property
ASE	lenoch	AS	motor vehicle liability
ASF	lenoch	AS	aircraft liability
ASG	lenoch	AS	liability for sea, lake and river and canal vessels
ASH	lenoch	AS	general liability
ASI	lenoch	AS	credit insurance (sn: technical aspects of credit insurance)
ASJ	lenoch	AS	legal aspects of insurance
ASK	lenoch	AS	suretyship
ASL	lenoch	AS	miscellaneous financial loss
ASM	lenoch	AS	legal expenses
ASN	lenoch	AS	agricultural insurance
ASO	lenoch	AS	social security
ASY	lenoch	AS	training & education
ASZ	lenoch	AS	professions & careers
AT	lenoch	-	Nuclear Technology & Nuclear Industry(sn: applied nuclear physics; us: for pure nuclear physics, see: PHD)
AT1	lenoch	AT	general aspects of the subject field
AT2	lenoch	AT	organisations in the subject field
AT3	lenoch	AT	publications in the subject field
AT31	lenoch	AT3	documentation systems and information systems in the subject field
AT4	lenoch	AT	nuclear fission
AT5	lenoch	AT	nuclear fusion
AT6	lenoch	AT	applied nuclear science
AT7	lenoch	AT	nuclear propulsion - nuclear powering
AT71	lenoch	AT7	nuclear propulsion
AT72	lenoch	AT7	nuclear powering
AT8	lenoch	AT	nuclear safeguards system (nt: IAEA Vienne) - safeguards (nt: EURATOM)
AT9	lenoch	AT	nuclear research
ATA	lenoch	AT	radioactive materials
ATB	lenoch	AT	nuclear waste
ATC	lenoch	AT	liability
ATW	lenoch	AT	man & society
ATY	lenoch	AT	training & education
ATZ	lenoch	AT	professions & careers
AU	lenoch	-	Automation - Computer Science - Information Technology(sn: data processing)
AU1	lenoch	AU	general aspects of the subject field
AU2	lenoch	AU	organisations in the subject field
AU3	lenoch	AU	publications in the subject field
AU31	lenoch	AU3	documentation systems and information systems in the subject field
AU4	lenoch	AU	methodological principles of information technology
AU41	lenoch	AU4	general
AU42	lenoch	AU4	system aspects
AU43	lenoch	AU4	project management
AU44	lenoch	AU4	computing policy - information policy
AU45	lenoch	AU4	design methods for information systems
AU46	lenoch	AU4	software engineering
AU47	lenoch	AU4	management of computer resources and data processing
AU5	lenoch	AU	information technology theory
AU51	lenoch	AU5	automation theory
AU52	lenoch	AU5	algorithms & complexity
AU52A	lenoch	AU52	algorithms & analysis
AU52L	lenoch	AU52	logics & mathematics
AU52M	lenoch	AU52	mathematical applications in programming
AU52S	lenoch	AU52	statistics & probability
AU6	lenoch	AU	hardware
AU61	lenoch	AU6	logical building blocks (sn: this section only deals with logical functions of elements and devices; for electronic properties, manufacturing & packaging, see: EL6)
AU62	lenoch	AU6	EDP-equipment & input/output media (nt: functional organisation)
AU62G	lenoch	AU62	general aspects
AU62M	lenoch	AU62	memories - storages - stores
AU62P	lenoch	AU62	peripherals
AU62U	lenoch	AU62	central processing unit; CPU - input unit & output unit
AU63	lenoch	AU6	computer system architecture (nt: relation between logical and physical structures)
AU64	lenoch	AU6	computer system organisation
AU65	lenoch	AU6	mode of appearance (nt: physical presentation of a computer system in relation to its performance and application)
AU66	lenoch	AU6	performance evaluation
AU7	lenoch	AU	programs & programming (nt: software)
AU71	lenoch	AU7	general
AU72	lenoch	AU7	structured programming
AU73	lenoch	AU7	technical aspects of programming languages
AU74	lenoch	AU7	types of programming languages
AU75	lenoch	AU7	control systems
AU76	lenoch	AU7	mathematical software
AU8	lenoch	AU	information management systems - database & databank - data
AU81	lenoch	AU8	data (sn: data processing aspects only; us: for Information & Documentation, see: DI)
AU82	lenoch	AU8	files
AU83	lenoch	AU8	database - databank
AU84	lenoch	AU8	data analysis & data management
AU85	lenoch	AU8	information retrieval systems (sn: data processing aspects; us: for Information & Documentation, see: DIA)
AU86	lenoch	AU8	managerial aspects (sn: application and operation)
AU9	lenoch	AU	teleinformatics (sn: data processing aspects only; rf: telecommunications networks, see: OOH)
AU91	lenoch	AU9	data links & networks
AU92	lenoch	AU9	videotex - teletext (sn: data processing aspects only; for service aspects, see: OOC)
AUA	lenoch	AU	special computer assisted applications (us: for automation aspects in other subject fields, see under Sub-Heading XXV of the subject fields)
AUA1	lenoch	AUA	artificial intelligence
AUA2	lenoch	AUA	expert systems
AUA3	lenoch	AUA	natural language processing
AUA4	lenoch	AUA	office automation
AUA5	lenoch	AUA	operations research
AUA6	lenoch	AUA	simulation
AUA7	lenoch	AUA	cryptology
AUA8	lenoch	AUA	computer graphics
AUA9	lenoch	AUA	pattern recognition
AUAA	lenoch	AUA	manufacturing automation
AUAB	lenoch	AUA	computer graphics
AUAC	lenoch	AUA	house automation
AUAD	lenoch	AUA	special applications - general aspects
AUB	lenoch	AU	security
AUJ	lenoch	AU	legal aspects of automation
AUW	lenoch	AU	man & society
AUW1	lenoch	AUW	occupational health & ergonomics
AUY	lenoch	AU	training & education
AUZ	lenoch	AU	professions & careers
BA	lenoch	-	Civil Engineering - Building
BA1	lenoch	BA	general aspects of the subject field
BA2	lenoch	BA	organisations in the subject field
BA3	lenoch	BA	publications in the subject field
BA31	lenoch	BA3	documentation systems and information systems in the subject field
BA4	lenoch	BA	country planning - town planning (sn: building aspects; for living conditions, see: TSB)
BA5	lenoch	BA	natural and planned landscapes
BA6	lenoch	BA	architecture & building
BA7	lenoch	BA	building construction
BA71	lenoch	BA7	static design
BA72	lenoch	BA7	building
BA73	lenoch	BA7	interior rehabilitation
BA74	lenoch	BA7	building services
BA75	lenoch	BA7	special features
BA8	lenoch	BA	soil mechanics & underground structures
BA9	lenoch	BA	bridge building
BAA	lenoch	BA	road building
BAB	lenoch	BA	railways
BAC	lenoch	BA	waterways
BAD	lenoch	BA	structures on the land
BAE	lenoch	BA	building aids
BAE1	lenoch	BAE	temporary buildings
BAE2	lenoch	BAE	temporary structures
BAF	lenoch	BA	building trades
BAG	lenoch	BA	protection of structures (rf: industrial archeology, see: HIF; (nt: protection against fire, water, earthquakes, avalanches, wind, biological hazard, air attacks, radiation, etc)
BAH	lenoch	BA	building machinery and equipment (sn: use of equipment only; us: for manufacturing,see: INS1)
BAI	lenoch	BA	administrative procedures
BAJ	lenoch	BA	legal aspects
BAK	lenoch	BA	finishings
BAL	lenoch	BA	temporary shelters
BAM	lenoch	BA	building methods
BAM1	lenoch	BAM	steel construction
BAM2	lenoch	BAM	concrete technology
BAM3	lenoch	BAM	industrialised building
BAN	lenoch	BA	types of buildings - form & function
BAO	lenoch	BA	quality aspects & maintenance
BAP	lenoch	BA	building stages
BAW	lenoch	BA	man & society
BAY	lenoch	BA	training & education
BAZ	lenoch	BA	professions & careers
BZ	lenoch	-	Biology - Biotechnology
BZ1	lenoch	BZ	general aspects of the subject field
BZ11	lenoch	BZ1	taxonomy
BZ2	lenoch	BZ	organisations in the subject field
BZ22	lenoch	BZ2	botanical gardens - zoological gardens
BZ3	lenoch	BZ	publications in the subject field
BZ31	lenoch	BZ3	documentation systems and information systems in the subject field
BZ311	lenoch	BZ31	International Species Inventory System
BZ4	lenoch	BZ	general botany
BZ5	lenoch	BZ	classified botany
BZ6	lenoch	BZ	plant diseases
BZ7	lenoch	BZ	applied botany
BZ8	lenoch	BZ	general zoology
BZ9	lenoch	BZ	classified zoology
BZA	lenoch	BZ	animal diseases (rf: stockbreeding, see: AG9)
BZB	lenoch	BZ	applied zoology
BZC	lenoch	BZ	biochemistry
BZD	lenoch	BZ	biophysics
BZE	lenoch	BZ	bionics
BZF	lenoch	BZ	biosphere
BZG	lenoch	BZ	chorology (sn: the study of migrations and of their areas of distribution; a combination of phytogeography and zoo-geography; us: for the new sense, i.e. the ecological study of regions and areas, see: EN )
BZH	lenoch	BZ	general biology
BZHI	lenoch	BZH	histology
BZJ	lenoch	BZ	legal aspects of applied zoology
BZK	lenoch	BZ	cell biology
BZK1	lenoch	BZK	genetics & eugenics
BZK2	lenoch	BZK	gene technology & genetic engineering
BZL	lenoch	BZ	biological techniques
BZM	lenoch	BZ	microbiology
BZM1	lenoch	BZM	bacteriology
BZM2	lenoch	BZM	virology
BZM3	lenoch	BZM	parasitology
BZN	lenoch	BZ	biotechnology
BZO	lenoch	BZ	limnology
BZP	lenoch	BZ	palaeontology
BZQ	lenoch	BZ	wildlife - natural habitat
BZW	lenoch	BZ	man & society
BZY	lenoch	BZ	training & education
BZZ	lenoch	BZ	professions & careers
CE	lenoch	-	European Union - European Communities
CE1	lenoch	CE	general aspects
CE11	lenoch	CE1	publications (sn: publications produced by the EU)
CE111	lenoch	CE11	Combined Nomenclature; Tariff and Statistical Nomenclature
CE112	lenoch	CE11	European patents
CE113	lenoch	CE11	European Standards; EN
CE12	lenoch	CE1	documentation & information systems (sn: documentation & information systems of the EU)
CE2	lenoch	CE	action plans & programmes - information (sn: action plans & programmes - information dealing with "European Integration" and the "European Union " as topics)
CE21	lenoch	CE2	Citizens first (nt: DG X action programme)
CE3	lenoch	CE	publications (sn: publications dealing with "European Integration" and the "European Union " as topics)
CE4	lenoch	CE	European Union; EU - European Community; European Communities; EC
CE41	lenoch	CE4	European Coal and Steel Community; ECSC
CE42	lenoch	CE4	European Economic Community; EEC
CE43	lenoch	CE4	European Atomic Energy Community; EURATOM; EAEC
CE44	lenoch	CE4	administration - organisation - working methods - procedures
CE45	lenoch	CE4	European civil service - staff
CE46	lenoch	CE4	EU financing - EU budget
CE47	lenoch	CE4	protocol - security
CE48	lenoch	CE4	public relations - press - spokesman - information
CE49	lenoch	CE4	European Ombudsman
CE4A	lenoch	CE4	EU internal affairs
CE4B	lenoch	CE4	infrastructure
CE4C	lenoch	CE4	language matters
CE4CL	lenoch	CE4C	eurolect
CE4CT	lenoch	CE4C	EU terminology
CE5	lenoch	CE	regulations - decisions - resolutions - reports - opinions
CE51	lenoch	CE5	regulation
CE52	lenoch	CE5	decision
CE53	lenoch	CE5	resolution
CE54	lenoch	CE5	reports
CE55	lenoch	CE5	expert opinions
CE6	lenoch	CE	missions - delegations & representations - external relations - Intergovernmental Conference
CE61	lenoch	CE6	missions
CE62	lenoch	CE6	delegations & representations
CE63	lenoch	CE6	external relations
CE63A	lenoch	CE63	relations with EFTA countries
CE63B	lenoch	CE63	multilateral relations
CE64	lenoch	CE6	Intergovernmental Conference; IGC
CE6X	lenoch	CE6	non-Community
CE7	lenoch	CE	Eurostat; Statistical Office of the European Communities; SOEC (sn: operational aspects; rf: Eurostat 'statistical themes', see: STE)
CE8	lenoch	CE	Office for Official Publications of the European Communities;
CE9	lenoch	CE	Council of Europe; CE
CEA	lenoch	CE	European Parliament; EP
CEA1	lenoch	CEA	Parliamentary Bodies of the European Parliament
