A	militerm	-	Military (General)
B	militerm	-	Land Forces
C	militerm	-	Air Forces
D	militerm	-	Naval Forces
E	militerm	-	Weapon Systems
F	militerm	-	Paramilitary
G	militerm	-	Defence Planning and Policy
H	militerm	-	Command and Control
I	militerm	-	General Conduct of Military Operations
J	militerm	-	Logistics
K	militerm	-	Military Equipment
L	militerm	-	Combined Forces
M	militerm	-	Joint Forces
O	militerm	-	Organization
Q	militerm	-	Standardization
S	militerm	-	Security
T	militerm	-	Fire Safety
U	militerm	-	National and International Security
V	militerm	-	Military Training and Education
AA	militerm	A	Military (General) -> General
AB	militerm	A	Military (General) -> Military Administration
AG	militerm	A	Military (General) -> Military Justice
AH	militerm	A	Military (General) -> Chaplain Service
AK	militerm	A	Military (General) -> Military Police
AP	militerm	A	Military (General) -> Ceremonial and Traditions
AR	militerm	A	Military (General) -> Mass Destruction Weapons
AS	militerm	A	Military (General) -> Military Science
AX	militerm	A	Military (General) -> Provisional Classification
AZ	militerm	A	Military (General) -> Non-classifiable Terms
BA	militerm	B	Land Forces -> General
BB	militerm	B	Land Forces -> Armour
BC	militerm	B	Land Forces -> Field Artillery
BD	militerm	B	Land Forces -> Infantry
BE	militerm	B	Land Forces -> Topography
BF	militerm	B	Land Forces -> Field Engineers
BG	militerm	B	Land Forces -> Demolition
BH	militerm	B	Land Forces -> Signals
BI	militerm	B	Land Forces -> Land Operations
BJ	militerm	B	Land Forces -> Tactical Operations
BK	militerm	B	Land Forces -> Engineering
BL	militerm	B	Land Forces -> Air Defence Artillery
BM	militerm	B	Land Forces -> Airborne Forces
BX	militerm	B	Land Forces -> Provisional Classification
BZ	militerm	B	Land Forces -> Non-classifiable Terms
CA	militerm	C	Air Forces -> General
CB	militerm	C	Air Forces -> Air Operations
CD	militerm	C	Air Forces -> Tactical Operations
CE	militerm	C	Air Forces -> Air Defence
CE1	militerm	CE	Air Forces -> Air Defence -> Air Defence (Air to Ground)
CF	militerm	C	Air Forces -> Ground Installations
CG	militerm	C	Air Forces -> Air Communications
CH	militerm	C	Air Forces -> Helicopters
CI	militerm	C	Air Forces -> Air Space Control
CX	militerm	C	Air Forces -> Provisional Classification
CZ	militerm	C	Air Forces -> Non-classifiable Terms
DA	militerm	D	Naval Forces -> General
DB	militerm	D	Naval Forces -> Sea Operations
DC	militerm	D	Naval Forces -> Ship’s Organization
DD	militerm	D	Naval Forces -> Ship’s Communication
DE	militerm	D	Naval Forces -> Surface Ship Engineering
DF	militerm	D	Naval Forces -> Deck Department
DG	militerm	D	Naval Forces -> Ship’s Aircraft
DH	militerm	D	Naval Forces -> Combat Systems
DI	militerm	D	Naval Forces -> Marines
DJ	militerm	D	Naval Forces -> Sonar and Underwater Detection
DK	militerm	D	Naval Forces -> Replenishment at Sea
DL	militerm	D	Naval Forces -> Naval Dockyards
DM	militerm	D	Naval Forces -> Tactical Operations
DN	militerm	D	Naval Forces -> Auxiliary Vessels
DO	militerm	D	Naval Forces -> Submarines
DP	militerm	D	Naval Forces -> Mine Countermeasures (MCM)
DR	militerm	D	Naval Forces -> Air Defence
DQ	militerm	D	Naval Forces -> Diving
DR	militerm	D	Naval Forces -> Air Defence
DZ	militerm	D	Naval Forces -> Non-classifiable Terms
DX	militerm	D	Naval Forces -> Provisional Classification
EA	militerm	E	Weapon Systems -> General
EB	militerm	E	Weapon Systems -> Nuclear Weapons
EC	militerm	E	Weapon Systems -> Biological Weapons
ED	militerm	E	Weapon Systems -> Chemical Weapons
EE	militerm	E	Weapon Systems -> Ammunitions, Explosives
EF	militerm	E	Weapon Systems -> Small Arms
EG	militerm	E	Weapon Systems -> Missiles and Rockets
EH	militerm	E	Weapon Systems -> Guns (Land Forces)
EI	militerm	E	Weapon Systems -> Cannons (Aircraft)
EJ	militerm	E	Weapon Systems -> Guns (Naval)
EK	militerm	E	Weapon Systems -> Torpedoes
EL	militerm	E	Weapon Systems -> Bombs and Grenades
EM	militerm	E	Weapon Systems -> Landmines
EN	militerm	E	Weapon Systems -> Naval Mines
EO	militerm	E	Weapon Systems -> Space Weapons
EP	militerm	E	Weapon Systems -> Advanced Technology Weapons
EQ	militerm	E	Weapon Systems -> Non-lethal Weapons
ER	militerm	E	Weapon Systems -> Antique and obsolete weapons
ES	militerm	E	Weapon Systems -> Incendiary Weapons
ET	militerm	E	Weapon Systems -> Cutting and Thrusting Weapons
EU	militerm	E	Weapon Systems -> Weapons Systems (Land Forces)
EV	militerm	E	Weapon Systems -> Weapons Systems (Air Forces)
EW	militerm	E	Weapon Systems -> Weapons Systems (Naval Forces)
EX	militerm	E	Weapon Systems -> Target Acquisition
EY	militerm	E	Weapon Systems -> Ballistics
EZ	militerm	E	Weapon Systems -> Non-classifiable Terms
FA	militerm	F	Paramilitary -> General
FB	militerm	F	Paramilitary -> Search and Rescue
FC	militerm	F	Paramilitary -> Border Guard
FD	militerm	F	Paramilitary -> Emergency Preparedness
FE	militerm	F	Paramilitary -> Other Military Organizations and Units
FX	militerm	F	Paramilitary -> Provisional Classification
FZ	militerm	F	Paramilitary -> Non-classifiable Terms
GA	militerm	G	Defence Planning and Policy -> International Security
HA	militerm	H	Command and Control -> General
HB	militerm	H	Command and Control -> Command
HC	militerm	H	Command and Control -> Control
HD	militerm	H	Command and Control -> Readiness
HE	militerm	H	Command and Control -> Command and Control Systems
HG	militerm	H	Command and Control -> Planning
HH	militerm	H	Command and Control -> Procedures
HI	militerm	H	Command and Control -> Control Measures
HI1	militerm	HI	Command and Control -> Control Measures -> Signals
HI2	militerm	HI	Command and Control -> Control Measures -> Orders
HI3	militerm	HI	Command and Control -> Control Measures -> Control Equipment
HI4	militerm	HI	Command and Control -> Control Measures -> Map Signs
IA	militerm	I	General Conduct of Military Operations -> General
IB	militerm	I	General Conduct of Military Operations -> Military Strategy
IC	militerm	I	General Conduct of Military Operations -> Military Operational Art
ID	militerm	I	General Conduct of Military Operations -> Military Tactics
IE	militerm	I	General Conduct of Military Operations -> Electronic Warfare
IF	militerm	I	General Conduct of Military Operations -> Information Warfare
IG	militerm	I	General Conduct of Military Operations -> Nuclear Warfare
IH	militerm	I	General Conduct of Military Operations -> Biological Warfare
II	militerm	I	General Conduct of Military Operations -> Chemical Warfare
IJ	militerm	I	General Conduct of Military Operations -> Mine Warfare
IK	militerm	I	General Conduct of Military Operations -> Psychological Warfare
IL	militerm	I	General Conduct of Military Operations -> Combat Support
IN	militerm	I	General Conduct of Military Operations -> Arms Control
IO	militerm	I	General Conduct of Military Operations -> Intelligence
IP	militerm	I	General Conduct of Military Operations -> Military Organization
IQ	militerm	I	General Conduct of Military Operations -> Peace-Keeping Operations
IR	militerm	I	General Conduct of Military Operations -> Space Warfare
IS	militerm	I	General Conduct of Military Operations -> Surveillance, Detection and Reconnaissance
IT	militerm	I	General Conduct of Military Operations -> Counter-Measures
IU	militerm	I	General Conduct of Military Operations -> Encryption and Decryption
IV	militerm	I	General Conduct of Military Operations -> Guerilla Warfare
IX	militerm	I	General Conduct of Military Operations -> Provisional Classification
IZ	militerm	I	General Conduct of Military Operations -> Non-classifiable Terms
JA	militerm	J	Logistics -> General
JB	militerm	J	Logistics -> Military Finances
JC	militerm	J	Logistics -> Military Matériel Management
JD	militerm	J	Logistics -> Supply
JE	militerm	J	Logistics -> Combat Service Support
JF	militerm	J	Logistics -> Clothing
JG	militerm	J	Logistics -> Food Services
JH	militerm	J	Logistics -> Military Transportation
JI	militerm	J	Logistics -> Construction Engineering
JJ	militerm	J	Logistics -> Military Equipment Maintenance
JK	militerm	J	Logistics -> Land Equipment Maintenance
JL	militerm	J	Logistics -> Naval Equipment Maintenance
JM	militerm	J	Logistics -> Air Matériel Maintenance
JN	militerm	J	Logistics -> Accommodation
JO	militerm	J	Logistics -> Medical Services
JO1	militerm	JO	Logistics -> Medical Services -> Dental Services
JX	militerm	J	Logistics -> Provisional Classification
JZ	militerm	J	Logistics -> Non-classifiable Terms
KA	militerm	K	Military Equipment -> General
KB	militerm	K	Military Equipment -> Modernization of Military Equipment
KC	militerm	K	Military Equipment -> Land Equipment
KD	militerm	K	Military Equipment -> Wheeled Vehicles
KE	militerm	K	Military Equipment -> Tracked Vehicles
KF	militerm	K	Military Equipment -> Naval Equipment
KG	militerm	K	Military Equipment -> Aerospace Equipment
KX	militerm	K	Military Equipment -> Provisional Classification
KZ	militerm	K	Military Equipment -> Non-classifiable Terms
LA	militerm	L	Combined Forces -> General
LB	militerm	L	Combined Forces -> Military Training
LC	militerm	L	Combined Forces -> Military Communications
LD	militerm	L	Combined Forces -> Air Defence
LG	militerm	L	Combined Forces -> Special Forces
LH	militerm	L	Combined Forces -> Specialized Forces
LX	militerm	L	Combined Forces -> Provisional Classification
LZ	militerm	L	Combined Forces -> Non-classifiable Terms
SA	militerm	S	Security -> Security
SB	militerm	S	Security -> Protection of Property
SC	militerm	S	Security -> Protection of Life
SD	militerm	S	Security -> Security Devices
SD1	militerm	SD	Security -> Security Devices -> Security Systems
SD2	militerm	SD	Security -> Security Devices -> Badges and Instruments of Identification
SD3	militerm	SD	Security -> Security Devices -> Security Posters and Signs
SG	militerm	S	Security -> Corporate Security
SH	militerm	S	Security -> Protective Clothing
SJ	militerm	S	Security -> Police
SK	militerm	S	Security -> Civil Protection
SL	militerm	S	Security -> Internal Security
SX	militerm	S	Security -> Provisional Classification
SZ	militerm	S	Security -> Non-classifiable Terms
TA	militerm	T	Fire Safety -> General
TB	militerm	T	Fire Safety -> Fire Warning Devices
TC	militerm	T	Fire Safety -> Fire Detection
TD	militerm	T	Fire Safety -> Forest Fires
TE	militerm	T	Fire Safety -> Fixed Rescue Facilities
TF	militerm	T	Fire Safety -> Fire-Fighting Techniques
TG	militerm	T	Fire Safety -> Fire-Fighting and Rescue Equipment
TH	militerm	T	Fire Safety -> Fire Prevention
TI	militerm	T	Fire Safety -> Pre-Fire Planning
TJ	militerm	T	Fire Safety -> Fire Regulations
TK	militerm	T	Fire Safety -> Fire-Fighting Services
TL	militerm	T	Fire Safety -> Fires and Explosions
TM	militerm	T	Fire Safety -> Fire-Fighting Apparel
TN	militerm	T	Fire Safety -> Fireproofing
TO	militerm	T	Fire Safety -> Extinguishing Agents
TX	militerm	T	Fire Safety -> Provisional Classification
TZ	militerm	T	Fire Safety -> Non-classifiable Terms
VA	militerm	V	Military Training and Education -> General
VB	militerm	V	Military Training and Education -> Exercises
VC	militerm	V	Military Training and Education -> Training and Education Control
VC1	militerm	VC	Military Training and Education -> Training and Education Control -> Planning
VC2	militerm	VC	Military Training and Education -> Training and Education Control -> Execution
VC3	militerm	VC	Military Training and Education -> Training and Education Control -> Evaluation
VD	militerm	V	Military Training and Education -> Training and Education Equipment
VE	militerm	V	Military Training and Education -> Training Fields
VF	militerm	V	Military Training and Education -> E-Training
