A	militerm	-	üldsõjaline
B	militerm	-	maavägi
C	militerm	-	õhuvägi
D	militerm	-	merevägi
E	militerm	-	relvad ja relvasüsteemid
F	militerm	-	sõjaväestatud organisatsioonid
G	militerm	-	kaitsepoliitika ja planeerimine
H	militerm	-	käsutamine ja juhtimine
I	militerm	-	sõjategevus
J	militerm	-	logistika
K	militerm	-	sõjaväevarustus
L	militerm	-	mitmeriigiväed
M	militerm	-	ühendväed
O	militerm	-	struktuur ja koosseis
Q	militerm	-	standardimine
S	militerm	-	turve
T	militerm	-	tuleohutus
U	militerm	-	riigisisene ja rahvusvaheline julgeolek
V	militerm	-	sõjaline väljaõpe ja haridus
AA	militerm	A	üldsõjaline -> üldine
AB	militerm	A	üldsõjaline -> sõjaväe haldamine
AG	militerm	A	üldsõjaline -> sõjaväeline õigusemõistmine
AH	militerm	A	üldsõjaline -> kaplaniteenistus
AK	militerm	A	üldsõjaline -> sõjaväepolitsei
AP	militerm	A	üldsõjaline -> tseremooniad ja traditsioonid
AR	militerm	A	üldsõjaline -> massihävitusrelvad
AS	militerm	A	üldsõjaline -> sõjateadus
AX	militerm	A	üldsõjaline -> ajutine liigitus
AZ	militerm	A	üldsõjaline -> liigitamata terminid
BA	militerm	B	maavägi -> üldine
BB	militerm	B	maavägi -> soomusvägi
BC	militerm	B	maavägi -> välisuurtükivägi
BD	militerm	B	maavägi -> jalavägi
BE	militerm	B	maavägi -> topograafia
BF	militerm	B	maavägi -> pioneerid
BG	militerm	B	maavägi -> lõhketööd
BH	militerm	B	maavägi -> sidevägi
BI	militerm	B	maavägi -> maaoperatsioonid
BJ	militerm	B	maavägi -> maaväe lahingutegevus
BK	militerm	B	maavägi -> insenerivägi
BL	militerm	B	maavägi -> maaväe õhukaitse
BM	militerm	B	maavägi -> õhudessantvägi
BX	militerm	B	maavägi -> ajutine liigitus
BZ	militerm	B	maavägi -> liigitamata terminid
CA	militerm	C	õhuvägi -> üldine
CB	militerm	C	õhuvägi -> õhuoperatsioonid
CD	militerm	C	õhuvägi -> õhuväe lahingutegevus
CE	militerm	C	õhuvägi -> õhuväe õhukaitse
CE1	militerm	CE	õhuvägi -> õhuväe õhukaitse -> õhutõrje õhus
CF	militerm	C	õhuvägi -> õhuväerajatised
CG	militerm	C	õhuvägi -> õhuväe side
CH	militerm	C	õhuvägi -> kopterid
CI	militerm	C	õhuvägi -> õhuruumi juhtimine
CX	militerm	C	õhuvägi -> ajutine liigitus
CZ	militerm	C	õhuvägi -> liigitamata terminid
DA	militerm	D	merevägi -> üldine
DB	militerm	D	merevägi -> mereoperatsioonid
DC	militerm	D	merevägi -> laevapere struktuur ja koosseis
DD	militerm	D	merevägi -> laeva side
DE	militerm	D	merevägi -> laevaehitus
DF	militerm	D	merevägi -> tekimeeskond
DG	militerm	D	merevägi -> mereväe lennuvahendid
DH	militerm	D	merevägi -> lahingusüsteemid
DI	militerm	D	merevägi -> merejalavägi
DJ	militerm	D	merevägi -> hüdroakustiline ja veealune tuvastamine
DK	militerm	D	merevägi -> varustamine merel
DL	militerm	D	merevägi -> laevatehased
DM	militerm	D	merevägi -> mereväe lahingutegevus
DN	militerm	D	merevägi -> abilaevastik
DO	militerm	D	merevägi -> allveelaevad
DP	militerm	D	merevägi -> miinitõrje
DR	militerm	D	merevägi -> amfiibvägi
DQ	militerm	D	merevägi -> tuukritööd
DS	militerm	D	merevägi -> mereväe õhukaitse
DZ	militerm	D	merevägi -> liigitamata terminid
DX	militerm	D	merevägi -> ajutine liigitus
