LEX nimi	LEX kood	LEX väärtus	LEX keel	LEX väärtuse liik
aspect_type	сов.	совершенный	est	descrip
aspect_type	несов.	несовершенный	est	descrip
aspect_type	сов. и несов.	совершенный и несовершенный	est	descrip
deriv	adv	adverb (-lt)	est	descrip
deriv	dem	KE/KENE	est	ekimorfo
deriv	dem	diminutive	eng	descrip
deriv	dem	deminutiiv, vähendussõna	est	descrip
deriv	dem	deminutiiv, vähendussõna (-ke, -kene)	est	descrip2
deriv	dem	dem	lat	abbrev
deriv	komp	M	est	ekimorfo
deriv	komp	comparative (degree)	eng	descrip
deriv	komp	komparatiiv, keskvõrre	est	descrip
deriv	komp	komparatiiv, keskvõrre (-m)	est	descrip2
deriv	komp	keskv	est	abbrev
deriv	komp	komp	lat	abbrev
deriv	superl	IM	est	ekimorfo
deriv	superl	superlative (degree)	eng	descrip
deriv	superl	superlatiiv, ülivõrre	est	descrip
deriv	superl	superlatiiv, ülivõrre (-im)	est	descrip2
deriv	superl	üliv	est	abbrev
deriv	superl	superl	lat	abbrev
deriv	tgn	JA	est	ekimorfo
deriv	tgn	ja-derivative = actor	eng	descrip
deriv	tgn	tegijanimi	est	descrip
deriv	tgn	tegijanimi (-ja)	est	descrip2
deriv	tgn	tgn	est	abbrev
deriv	tn	MINE	est	ekimorfo
deriv	tn	mine-derivative = act, process	eng	descrip
deriv	tn	teonimi	est	descrip
deriv	tn	teonimi (-mine)	est	descrip2
deriv	tn	tn	est	abbrev
deriv	as	US	est	ekimorfo
deriv	posit	_	est	ekimorfo
deriv	as	as	lat	abbrev
deriv	posit	algvõrre	est	descrip
deriv	as	abstraktne substantiiv	est	descrip
deriv	posit	positiiv, algvõrre	est	descrip2
deriv	as	abstract substantive	eng	descrip
deriv	posit	positive degree	eng	descrip
deriv	ssv	seisundivorm	est	descrip
deriv	komp	keskvõrre	est	wordweb
deriv	tgn	tegijanimi	est	wordweb
deriv	tn	teonimi	est	wordweb
deriv	posit	algvõrre	est	wordweb
deriv	adv	määrsõna	est	wordweb
deriv	superl	ülivõrre	est	wordweb
deriv	dem	vähendussõna	est	wordweb
deriv	ssv	seisundivorm	est	wordweb
deriv	as	nimisõna	est	wordweb
display_morph	keskv	komparatiiv, keskvõrre	est	descrip
display_morph	keskv	keskvõrre	est	wordweb
display_morph	keskv	comparative (degree)	eng	descrip
display_morph	üliv	superlatiiv, ülivõrre	est	descrip
display_morph	üliv	ülivõrre	est	wordweb
display_morph	üliv	superlative (degree)	eng	descrip
display_morph	ips	impersonaal, umbisikuline tegumood	est	descrip
display_morph	ips	impersonal	eng	descrip
display_morph	ipf	lihtminevik	est	descrip
display_morph	pts	partitsiip, kesksõna	est	descrip
display_morph	pts	participle	eng	descrip
display_morph	pl	pluural, mitmus	est	descrip
display_morph	pl	plural	eng	descrip
display_morph	sg	singular, ainsus	est	descrip
display_morph	sg	singular	eng	descrip
display_morph	ips	umbisikuline tegumood	est	wordweb
display_morph	ipf	lihtminevik	est	wordweb
display_morph	pts	kesksõna	est	wordweb
display_morph	pl	mitmus	est	wordweb
display_morph	sg	ainsus	est	wordweb
etymology_type	põlissõna	-	-	-
etymology_type	kirjakeele sõna	-	-	-
etymology_type	kõlasõna	-	-	-
etymology_type	laensõna	-	-	-
etymology_type	laenväljend	-	-	-
etymology_type	pooltõlkelaen	-	-	-
etymology_type	tehissõna	-	-	-
etymology_type	tootenimi	-	-	-
etymology_type	tõlkelaen	-	-	-
etymology_type	nimi	-	-	-
gender	f	feminine	eng	descrip
gender	f	naissugu	est	descrip
gender	n	neuter	eng	descrip
gender	n	kesksugu	est	descrip
gender	o	other	eng	descrip
gender	o	muu	est	descrip
gender	m	masculine	eng	descrip
gender	m	meessugu	est	descrip
gender	n	kesksugu	est	wordweb
gender	m	meessugu	est	wordweb
gender	o	muu	est	wordweb
gender	f	naissugu	est	wordweb
government_type	obj	objektirektsioon	est	full
government_type	kn	käänderektsioon	est	full
government_type	ks	kaassõnarektsioon	est	full
government_type	yld	üldrektsioon	est	full
government_type	inf	infinitiivirektsioon	est	full
government_type	kla	lausungirektsioon	est	full
government_type	subj	subjektirektsioon	est	full
language	abk	Abkhaz	eng	wordweb
language	qab	Low German	eng	wordweb
language	sqi	Albanian	eng	wordweb
language	ara	Arabic	eng	wordweb
language	arw	Arawak	eng	wordweb
language	aze	Azerbaijani	eng	wordweb
language	qbk	Australian languages	eng	wordweb
language	ave	Avesta	eng	wordweb
language	bft	Balti	eng	wordweb
language	qad	Baltic German	eng	wordweb
language	bam	Bambara	eng	wordweb
language	ben	Bengal	eng	wordweb
language	ber	Berber	eng	wordweb
language	qaf	Estonian and Votic	eng	wordweb
language	egy	Egyptian	eng	wordweb
language	myv	Erzya	eng	wordweb
language	qag	Frankish (Old Franconian, Old Frankish)	eng	wordweb
language	gla	Gaelish	eng	wordweb
language	gem	Germanic	eng	wordweb
language	got	Gothic	eng	wordweb
language	kat	Georgian	eng	wordweb
language	kal	Greenlandic	eng	wordweb
language	haw	Hawaiian	eng	wordweb
language	heb	Hebrew	eng	wordweb
language	zho	Chinese	eng	wordweb
language	qah	Late Greek	eng	wordweb
language	qai	Late Latin	eng	wordweb
language	hin	Hindi	eng	wordweb
language	spa	Spanish	eng	wordweb
language	nld	Dutch	eng	wordweb
language	ind	Indonesian	eng	wordweb
language	eng	English	eng	wordweb
language	isl	Icelandic	eng	wordweb
language	ita	Italian	eng	wordweb
language	jpn	Japanese	eng	wordweb
language	yid	Yidish	eng	wordweb
language	krl	Karelian	eng	wordweb
language	kaz	Kazakh	eng	wordweb
language	dum	Middle Dutch	eng	wordweb
language	qaa	Medieval Greek	eng	wordweb
language	qak	Medieval Latin	eng	wordweb
language	frm	Middle French	eng	wordweb
language	qal	Middle Persian	eng	wordweb
language	gmh	Middle High German	eng	wordweb
language	que	Quechua	eng	wordweb
language	kmb	Kimbundu (North Mbundu)	eng	wordweb
language	kir	Kirghiz	eng	wordweb
language	qam	Church Latin	eng	wordweb
language	chu	Old Church Slavonic	eng	wordweb
language	kom	Komi	eng	wordweb
language	kon	Kongo	eng	wordweb
language	ell	Greek	eng	wordweb
language	cym	Welsh	eng	wordweb
language	qwm	Kipchak	eng	wordweb
language	lat	Latin	eng	wordweb
language	lit	Lithuanian	eng	wordweb
language	liv	Livonian	eng	wordweb
language	lav	Latvian	eng	wordweb
language	qao	Baltic-Finnic	eng	wordweb
language	msa	Malay	eng	wordweb
language	mal	Malayalam	eng	wordweb
language	div	Dhivehi	eng	wordweb
language	chm	Mari	eng	wordweb
language	qat	Medical Latin	eng	wordweb
language	mic	Micmac	eng	wordweb
language	mdf	Moksha	eng	wordweb
language	mon	Mongolian	eng	wordweb
language	nah	Nahuatl	eng	wordweb
language	naq	Khoekhoe (Nama, Hottentot)	eng	wordweb
language	pol	Polish	eng	wordweb
language	por	Portuguese	eng	wordweb
language	pim	Powhatan	eng	wordweb
language	fra	French	eng	wordweb
language	fas	Persian	eng	wordweb
language	qav	Vulgar Latin	eng	wordweb
language	swe	Swedish	eng	wordweb
language	ron	Romanian	eng	wordweb
language	qaw	Sami	eng	wordweb
language	deu	German	eng	wordweb
language	fin	Finnish	eng	wordweb
language	qac	Finno-Ugric	eng	wordweb
language	swa	Swahili	eng	wordweb
language	zul	Zulu	eng	wordweb
language	syr	Syrian	eng	wordweb
language	dan	Danish	eng	wordweb
language	tgk	Tajiki (Tajiki Persian)	eng	wordweb
language	tgl	Tagalog	eng	wordweb
language	tha	Thai	eng	wordweb
language	tnq	Taino	eng	wordweb
language	tam	Tamil	eng	wordweb
language	tat	Tatar	eng	wordweb
language	bod	Tibetan	eng	wordweb
language	ton	Tongan	eng	wordweb
language	chg	Chagatai	eng	wordweb
language	ces	Czech	eng	wordweb
language	ckt	Chukchi	eng	wordweb
language	chv	Chuvash	eng	wordweb
language	qax	Tupi-Guarani	eng	wordweb
language	qbj	Turkic	eng	wordweb
language	tur	Turkish	eng	wordweb
language	udm	Udmurt	eng	wordweb
language	uig	Uighur	eng	wordweb
language	ukr	Ukrainian	eng	wordweb
language	hun	Hungarian	eng	wordweb
language	urd	Urdu	eng	wordweb
language	qay	Uralic	eng	wordweb
language	qaz	New Greek	eng	wordweb
language	qba	New Latin / Neo-Latin	eng	wordweb
language	vot	Votic	eng	wordweb
language	bel	Belarusian	eng	wordweb
language	qbf	Old Saxon	eng	wordweb
language	fro	Old French	eng	wordweb
language	qbg	Old Swedish	eng	wordweb
language	qbh	Old Turkish	eng	wordweb
language	qbi	Old Russian	eng	wordweb
language	goh	Old High German	eng	wordweb
language	rus	Russian	eng	wordweb
language	vep	Vepsian	eng	wordweb
language	vie	Vietnamese	eng	wordweb
language	est	Estonian	eng	wordweb
language	san	Sanskrit	eng	wordweb
language	pli	Pali	eng	wordweb
language	pan	Panjabi	eng	wordweb
language	abk	Abkhaz	eng	descrip
language	qab	Low German	eng	descrip
language	sqi	Albanian	eng	descrip
language	ara	Arabic	eng	descrip
language	arw	Arawak	eng	descrip
language	aze	Azerbaijani	eng	descrip
language	qbk	Australian languages	eng	descrip
language	ave	Avesta	eng	descrip
language	bft	Balti	eng	descrip
language	qad	Baltic German	eng	descrip
language	bam	Bambara	eng	descrip
language	ben	Bengal	eng	descrip
language	ber	Berber	eng	descrip
language	qaf	Estonian and Votic	eng	descrip
language	egy	Egyptian	eng	descrip
language	myv	Erzya	eng	descrip
language	qag	Frankish (Old Franconian, Old Frankish)	eng	descrip
language	gla	Gaelish	eng	descrip
language	gem	Germanic	eng	descrip
language	got	Gothic	eng	descrip
language	kat	Georgian	eng	descrip
language	kal	Greenlandic	eng	descrip
language	haw	Hawaiian	eng	descrip
language	heb	Hebrew	eng	descrip
language	zho	Chinese	eng	descrip
language	qah	Late Greek	eng	descrip
language	qai	Late Latin	eng	descrip
language	hin	Hindi	eng	descrip
language	spa	Spanish	eng	descrip
language	nld	Dutch	eng	descrip
language	ind	Indonesian	eng	descrip
language	eng	English	eng	descrip
language	isl	Icelandic	eng	descrip
language	ita	Italian	eng	descrip
language	jpn	Japanese	eng	descrip
language	yid	Yidish	eng	descrip
language	krl	Karelian	eng	descrip
language	kaz	Kazakh	eng	descrip
language	dum	Middle Dutch	eng	descrip
language	qaa	Medieval Greek	eng	descrip
language	qak	Medieval Latin	eng	descrip
language	frm	Middle French	eng	descrip
language	qal	Middle Persian	eng	descrip
language	gmh	Middle High German	eng	descrip
language	que	Quechua	eng	descrip
language	kmb	Kimbundu (North Mbundu)	eng	descrip
language	kir	Kirghiz	eng	descrip
language	qam	Church Latin	eng	descrip
language	chu	Old Church Slavonic	eng	descrip
language	kom	Komi	eng	descrip
language	kon	Kongo	eng	descrip
language	ell	Greek	eng	descrip
language	cym	Welsh	eng	descrip
language	qwm	Kipchak	eng	descrip
language	lat	Latin	eng	descrip
language	lit	Lithuanian	eng	descrip
language	liv	Livonian	eng	descrip
language	lav	Latvian	eng	descrip
language	qao	Baltic-Finnic	eng	descrip
language	msa	Malay	eng	descrip
language	mal	Malayalam	eng	descrip
language	div	Dhivehi	eng	descrip
language	chm	Mari	eng	descrip
language	qat	Medical Latin	eng	descrip
language	mic	Micmac	eng	descrip
language	mdf	Moksha	eng	descrip
language	mon	Mongolian	eng	descrip
language	nah	Nahuatl	eng	descrip
language	naq	Khoekhoe (Nama, Hottentot)	eng	descrip
language	pol	Polish	eng	descrip
language	por	Portuguese	eng	descrip
language	pim	Powhatan	eng	descrip
language	fra	French	eng	descrip
language	fas	Persian	eng	descrip
language	qav	Vulgar Latin	eng	descrip
language	swe	Swedish	eng	descrip
language	ron	Romanian	eng	descrip
language	qaw	Sami	eng	descrip
language	deu	German	eng	descrip
language	fin	Finnish	eng	descrip
language	qac	Finno-Ugric	eng	descrip
language	swa	Swahili	eng	descrip
language	zul	Zulu	eng	descrip
language	syr	Syrian	eng	descrip
language	dan	Danish	eng	descrip
language	tgk	Tajiki (Tajiki Persian)	eng	descrip
