nom	arvi	-	nimetav, nominatiiv
gen	arvi	-	genitiiv, omastav
illat	arvi	-	illatiiv, sisseütlev
imperf	arvi	-	imperfekt, lihtminevik
impers	arvi	-	impersonaal, umbisikuline tegumood
indekl	arvi	-	käändumatu
iness	arvi	-	inessiiv, seesütlev
adess	arvi	-	adessiiv, alalütlev
part	arvi	-	partitiiv, osastav
pl	arvi	-	pluural, mitmus
pl elat	arvi	-	pluurali elatiiv, mitmuse seestütlev
pl gen	arvi	-	pluurali genitiiv, mitmuse omastav
pl illat	arvi	-	pluurali illatiiv, mitmuse sisseütlev
pl iness	arvi	-	pluurali inessiiv, mitmuse seesütlev
pl nom	arvi	-	pluurali nominatiiv, mitmuse nimetav
pl part	arvi	-	pluurali partitiiv, mitmuse osastav
pl term	arvi	-	pluurali terminatiiv, mitmuse rajav
sg	arvi	-	singular, ainsus
sg gen	arvi	-	sg genitiiv, ainsuse omastav
sg part	arvi	-	singular partitiiv, ainsuse osastav
