algvõrre	bolan	-	positive degree
as	bolan	-	abstract substantive
dem	bolan	-	diminutive
nom	bolan	-	nominative
gen	bolan	-	genitive
illat	bolan	-	illative
imperf	bolan	-	imperfect
impers	bolan	-	impersonal
indekl	bolan	-	indeclinable
iness	bolan	-	inessive
komp	bolan	-	comparative
part	bolan	-	partitive
partits	bolan	-	participle
pl	bolan	-	plural
pl elat	bolan	-	plural elative
pl gen	bolan	-	plural genitive
pl illat	bolan	-	plural illative
pl iness	bolan	-	plural inessive
pl nom	bolan	-	plural nominative
pl part	bolan	-	plural partitive
pl term	bolan	-	plural terminative
superl	bolan	-	superlative
tgn	bolan	-	substantive suffix -ja = actor
tn	bolan	-	substantive suffix -mine = act, process
mitm	bolan	-	plural
ains	bolan	-	singular
om	bolan	-	singular genitiv
os	bolan	-	singular partitiv
keskv	bolan	-	comparative (degree)
üliv	bolan	-	superlative (degree)
kesks	bolan	-	participle
