algvõrre	bolan	-	algvõrre
as	bolan	-	abstraktne substantiiv
dem	bolan	-	deminutiiv, vähendussõna
nom	bolan	-	nimetav, nominatiiv
gen	bolan	-	genitiiv, omastav
illat	bolan	-	illatiiv, sisseütlev
imperf	bolan	-	imperfekt, lihtminevik
impers	bolan	-	impersonaal, umbisikuline tegumood
indekl	bolan	-	käändumatu
iness	bolan	-	inessiiv, seesütlev
adess	bolan	-	adessiiv, alalütlev
komp	bolan	-	komparatiiv, keskvõrre
part	bolan	-	partitiiv, osastav
partits	bolan	-	partitsiip, kesksõna
pl	bolan	-	pluural, mitmus
pl elat	bolan	-	pluurali elatiiv, mitmuse seestütlev
pl gen	bolan	-	pluurali genitiiv, mitmuse omastav
pl illat	bolan	-	pluurali illatiiv, mitmuse sisseütlev
pl iness	bolan	-	pluurali inessiiv, mitmuse seesütlev
pl nom	bolan	-	pluurali nominatiiv, mitmuse nimetav
pl part	bolan	-	pluurali partitiiv, mitmuse osastav
pl term	bolan	-	pluurali terminatiiv, mitmuse rajav
sg	bolan	-	singular, ainsus
sg gen	bolan	-	sg genitiiv, ainsuse omastav
superl	bolan	-	superlatiiv, ülivõrre
tgn	bolan	-	tegijanimi
tn	bolan	-	teonimi
mitm	bolan	-	pluural, mitmus
ains	bolan	-	singular, ainsus
om	bolan	-	singular genitiiv, ainsuse omastav
os	bolan	-	singular partitiiv, ainsuse osastav
keskv	bolan	-	komparatiiv, keskvõrre
üliv	bolan	-	superlatiiv, ülivõrre
kesks	bolan	-	partitsiip, kesksõna
