algvõrre	-	algvõrre
as	-	abstraktne substantiiv
dem	-	deminutiiv, vähendussõna
nom	-	nimetav, nominatiiv
gen	-	genitiiv, omastav
illat	-	illatiiv, sisseütlev
imperf	-	imperfekt, lihtminevik
impers	-	impersonaal, umbisikuline tegumood
indekl	-	käändumatu
iness	-	inessiiv, seesütlev
adess	-	adessiiv, alalütlev
komp	-	komparatiiv, keskvõrre
part	-	partitiiv, osastav
partits	-	partitsiip, kesksõna
pl	-	pluural, mitmus
pl elat	-	pluurali elatiiv, mitmuse seestütlev
pl gen	-	pluurali genitiiv, mitmuse omastav
pl illat	-	pluurali illatiiv, mitmuse sisseütlev
pl iness	-	pluurali inessiiv, mitmuse seesütlev
pl nom	-	pluurali nominatiiv, mitmuse nimetav
pl part	-	pluurali partitiiv, mitmuse osastav
pl term	-	pluurali terminatiiv, mitmuse rajav
sg	-	singular, ainsus
sg gen	-	sg genitiiv, ainsuse omastav
superl	-	superlatiiv, ülivõrre
tgn	-	tegijanimi
tn	-	teonimi
mitm	-	pluural, mitmus
ains	-	singular, ainsus
om	-	singular genitiiv, ainsuse omastav
os	-	singular partitiiv, ainsuse osastav
keskv	-	komparatiiv, keskvõrre
üliv	-	superlatiiv, ülivõrre
kesks	-	partitsiip, kesksõna
