hlv	bolan	-	offensive, derogatory
hrv	bolan	-	rare
iroon	bolan	-	ironic
lastek	bolan	-	child language
luulek	bolan	-	poetic
murd	bolan	-	dialect, regional
nlj	bolan	-	humorous
piltl	bolan	-	figurative
släng	bolan	-	slang
vabakeel	bolan	-	informal, journalistic
van	bolan	-	archaic
vulg	bolan	-	vulgar
arg	bolan	-	slang
dem	bolan	-	deminutive
hellitl	bolan	-	affectionate
kõnek	bolan	-	colloquial
kõnek ka piltl	bolan	-	colloquial, also figurative
kõrgst	bolan	-	festive
liter	bolan	-	literary
lstk	bolan	-	child language
madalk	bolan	-	nonstandard
rhvk	bolan	-	colloquial
nõuk	bolan	-	soviet
