hlv	bolan	-	halvustav, solvav
hrv	bolan	-	harvaesinev
iroon	bolan	-	irooniline
lastek	bolan	-	lastekeelne
luulek	bolan	-	luulekeelne
murd	bolan	-	murdekeelne
nlj	bolan	-	naljatlev
piltl	bolan	-	piltlik
släng	bolan	-	släng
vabakeel	bolan	-	vabakeelne, mitteformaalne (kõnekeelne), vaba register, "lobestiil"
van	bolan	-	vanamoeliselt, vananemas, prg värviline
vulg	bolan	-	vulgaarne
arg	bolan	-	argoo
dem	bolan	-	deminutiiv
hellitl	bolan	-	hellitlev
kõnek	bolan	-	kõnekeelne
kõnek ka piltl	bolan	-	kõnekeelselt ka piltlik
kõrgst	bolan	-	kõrgstiilne
liter	bolan	-	literaarne, raamatukeelne
lstk	bolan	-	lastekeelne
madalk	bolan	-	madalkeelne
rhvk	bolan	-	rahvakeelne
nõuk	bolan	-	nõukogulik
